,0
1,일산
2,연신내
3,한남동
4,이화여자대학교
5,청담
6,전대
7,천안
8,선릉역
9,수유역
10,타임스퀘어
11,신곡동
12,광안대교
13,합정
14,수암골
15,상인
16,한화비즈메트로
17,롯대월드
18,가양
19,창원시
20,상무지구
21,N-Seoul
22,고대맛집
23,평촌
24,롯데시티호텔
25,마산합포구
26,A-ZIT
27,Ansan
28,합정역
29,경희대점
30,Czech
31,커피랩
32,성신여대
33,Everland
34,덕천
35,센텀
36,신사
37,별내
38,프라도호텔
39,서산
40,영남대학교
41,오렌지거리
42,Cambridge
43,김포공항
44,한강
45,금오산
46,Korea
47,홍대
48,연남동
49,답십리
50,동경맨션
51,유성
52,Yongin
53,별내점
54,마포
55,공덕
56,경복궁
57,구의동
58,영등포
59,한남본점
60,충북대학교
61,섭지
62,해운대
63,부산 남포동
64,남포동
65,Dong-A
66,코엑스
67,안암
68,신촌
69,호림아트센터
70,코엑스
71,지리산
72,시내 동성로
73,대전
74,자양동
75,Busan
76,신길동
77,경상남도
78,하동
79,Brooklyn
80,Marseille
81,소요산
82,김해 어방동
83,안암역사거리
84,궁평항
85,Namsan
86,쌍촌동
87,안암동로타리
88,대학로
89,전라남도 장성군 백양사
90,장성군
91,백양사
92,상도동
93,서울
94,마린시티
95,동탄
96,주안역
97,동대문디자인플라자
98,여의도
99,IFC몰
100,대관령
101,양떼목장
102,성신여대
103,쁘띠프랑스
104,괴정
105,강남점
106,에버랜드
107,세종엠코타운
108,용산
109,시드니
110,판교
111,Pohang
112,상도동
113,포항
114,홍대
115,덕수궁
116,충남 공주시 신관동
117,경기대 경기드림타워
118,광복롯데백화점
119,진해
120,동성로
121,Seohyeon
122,광주광역시
123,한양대학교
124,대구서부정류장
125,연신내
126,Erica
127,연세대학교
128,경기대 드림타워
129,한강난지공원
130,주안
131,사창사거리
132,상명대학교 천안캠퍼스
133,광주 구시청
134,김해국제공항
135,석촌호수
136,이촌점
137,서울호서예술종합전문학교
138,명동역
139,안산점
140,63 컨벤션센터
141,용두동
142,용산
143,인천차이나타운
144,동화마을
145,베이징
146,청평
147,미아삼거리
148,고대 안암역
149,롯데월드몰
150,지중해마을
151,가로수길
152,부산 초량동
153,부산대
154,지산동
155,파미에스테이션
156,칠곡
157,광진구 군자동
158,해방촌
159,Tongyeong
160,풍암
161,수원
162,인계동
163,장미의거리
164,압구정
165,연세대학교음악대학윤주용홀
166,천호
167,커먼그라운드
168,강남
169,율하중심상가
170,칠보
171,전주실내체육관
172,독바위역
173,대구스타디움점
174,광주시립미술관
175,백운호수
176,강남논현동
177,아중리
178,명동
179,홍대
180,중앙대학교
181,대전롯데백화점
182,서종점
183,경산
184,남산타워
185,안암
186,석촌호수
187,성북동
188,중앙동
189,청담
190,고대앞
191,석남동
192,대만
193,롯데마트고양점
194,중산동
195,해양경찰청
196,망포동
197,경주
198,죽전점
199,동편마을
200,강남구 신사동
201,센텀시티
202,대전역 성심당
203,노량진수산시장
204,디큐브아트센터
205,파르나스몰
206,의정부
207,동의대
208,국민대학교 경상관
209,청사포
210,궁동
211,북촌한옥마을
212,경북 경주시
213,라마다호텔
214,경리단
215,창원 가로수길
216,전북대점
217,충주시 용산동
218,송천동
219,가로수길
220,범어먹거리타운
221,중앙대학교
222,광주역
223,울산방어진
224,상남동
225,신곡시장
226,첨성대
227,용머리해안 제주도
228,서울 강서구
229,내장산국립공원
230,건대
231,창문여자고등학교
232,위례신도시
233,충북제천
234,방배동
235,한강공원 이촌지구
236,선릉역 샹제리제빌딩
237,제천시 청전동
238,영등포
239,야탑
240,가보정
241,백현동 카페거리
242,고려대학교 정후
243,주전
244,부평
245,흑석동
246,이대역
247,제부도
248,광화문
249,연산자이아파트
250,청계광장
251,천안 안서동
252,인사동
253,순천
254,학동사거리
255,광교
256,신대방삼거리
257,건대입구
258,금오랜드
259,보성군
260,세종시 도담동
261,명동
262,율하 우야지막창
263,여수
264,전라남도 순천
265,장한평점
266,전라남도 광양
267,북촌전망대
268,강원도 강릉 안목해변
269,전대후문
270,경기도  파주시 운정신도시
271,과기대
272,신사동
273,을지로입구점
274,지리산천왕봉
275,고려대학교 민주광장
276,송파구 잠실
277,일산 킨텍스
278,가산점
279,삼성동 코엑스
280,경기 광주
281,신도림
282,용인대학교 문화예술대학
283,부산 사하구 괴정동
284,연산동
285,경기도 일산
286,현충원
287,홍대 상수역
288,Chuncheon
289,인천 동화마을
290,인천대학교송도캠퍼스
291,거제시 수월동
292,반포동
293,이태원
294,의령 정암루
295,신촌
296,성수
297,약수
298,소답동
299,반포대교 한강공원
300,압구정 한강공원
301,광교호수공원
302,삼청동
303,시지광장점
304,통영 서호시장
305,서울대학교
306,강남논현동
307,전포동 까페거리
308,신논현역 버거킹 강남교보점
309,Anam
310,KU
311,Gangnam
312,두정동
313,경희대점
314,명지대
315,두암동
316,경북예술고등학교
317,선운지구
318,서울 올림픽공원 체조경기장
319,노량진
320,서문시장
321,수유
322,팔당댐
323,범계 이태원
324,중앙동
325,서울특별시 관악구 대학동
326,석관동
327,전남대
328,둔촌동
329,한옥마을
330,고잔동
331,이대 돈천동
332,잠실
333,신대점
334,삼청동
335,하림각
336,남포동
337,인사동
338,팔당댐
339,전북대 대학로
340,가산w몰
341,휘닉스파크
342,부산대
343,대천해수욕장
344,신정동
345,광안리
346,Jeju
347,계원예술고등학교
348,답십리 현대시장
349,양평
350,운현궁
351,인천공항
352,남대문시장
353,남대문
354,북촌 한옥마을
355,삼각지역
356,대구공평
357,덕유산
358,홍대 화동
359,선부동
360,양산타워
361,노량진 
362,주례점
363,고려대학교
364,라페스타
365,울산대공원
366,유성구 상대동
367,용현동
368,금오산
369,아산 현충사
370,서래마을
371,두물머리
372,대구가톨릭대학교
373,원주 무실동
374,성희여고
375,사가정역
376,호명산
377,Seosan
378,한서대학교 영암체육관
379,신천점
380,중앙대
381,가평
382,세운청계상가
383,안산 선부동
384,양산 동경
385,읍천항
386,성남동
387,단구동
388,수원 인계동
389,영등포구청
390,송도 해인
391,타임스퀘어점
392,시지광장
393,남산동
394,을지로
395,청라지구
396,울산 동구 전하동
397,일산
398,노원
399,하남
400,지동시장
401,Hannamdong
402,용산프라자
403,안양시 동안구 호계동
404,서귀포 매일올레시장
405,구로시장
406,광주시립미술관
407,일본 시부야
408,순천만 생태공원
409,평촌한림대병원
410,동천동
411,동래
412,하계
413,산곡동
414,계동
415,서울여자고등학교
416,경남문화예술회관
417,소격동
418,덕수궁길
419,경희대앞
420,문정역점
421,신성동
422,수완지구
423,Gumi
424,서울시청광장
425,연신내
426,성북구 돈암동
427,제주
428,명일동
429,명동
430,신천시장
431,전주 한옥마을
432,진해 내수면 생태공원
433,발산역
434,금호미술관
435,서울특별시
436,해운대 Busan
437,"Itaewon,Seoul"
438,운정점
439,현대어린이책미술관
440,고려대학교
441,천호동
442,목동
443,시화점
444,창원시 의창구 봉곡동
445,퐁피두센터
446,이태원
447,거제 홍포
448,숙대
449,파주 지혜의숲
450,안산시 고잔동 문화광장
451,대전복합터미널
452,청주공항
453,전남대
454,방천시장
455,태화강공원
456,삼전동
457,호남고속도로
458,부천
459,회기
460,뚝섬
461,제주 월정리
462,인천국제공항
463,아주대
464,안암캠퍼스
465,후암동
466,충북대학교 토목공학관
467,구시청 동경야시장
468,평리동
469,이수역
470,동래
471,KU시네마트랩
472,전동성당
473,경희대학교 
474,연천고대산캠핑장
475,서울외곽순환도로
476,서현6구역
477,천안 야우리
478,강원도 철원시 한탄강
479,한국과학기술회관
480,신림동
481,풍암동 생활체육공원
482,감전동
483,지수사
484,서울대입구
485,답십리 땡큐센터
486,강화도
487,구서동
488,대학로
489,사상시외버스터미널
490,왕십리
491,올림픽공원 올림픽체조경기장
492,메세나폴리스
493,코엑스 도심공항타워
494,마천동
495,옥계
496,대전유성
497,쌍촌점
498,영등포점
499,국립극장 공연예술박물관
500,진주시 촉석루
501,풍동
502,신사동
503,만인산자연휴양림
504,정자동 카페거리
505,별빛캠핑장
506,산격동
507,병점 진안동
508,인천국제공항
509,상명대
510,청주터미널
511,조대후문
512,대림미술관
513,서울 서초구 서초동
514,명동거리
515,안양
516,판교 운중동
517,한티점
518,광주터미널
519,계명대학교대명동캠퍼스
520,백운호수
521,봉피양
522,왕십리
523,제주도 한라산
524,서산호수공원
525,아산터미널
526,방이동
527,수서
528,제주 협재 해수욕장
529,강남 어딘가
530,광림아트센터
531,대구국제공항
532,두정동
533,남포동
534,밀양
535,광주 아시아문화전당
536,부산
537,광장시장
538,구리시
539,평택
540,창덕궁
541,창동점
542,창동점
543,개운사
544,안암
545,위례24단지
546,오페라웨딩홀
547,서울시청 서소문별관 정동전망대
548,원주단계동
549,당산
550,동해 묵호등대
551,금호지구
552,민락동
553,남현동 예술인마을
554,가포
555,전라북도익산시
556,경리단길
557,안면도바다앞
558,삼산
559,경주시
560,다대포해수욕장
561,경상남도 김해시 진영읍
562,Gumi
563,대구시 상동
564,노형동
565,진평동
566,진해
567,안암 춘자
568,동대문
569,신림동순대타운
570,오륙도 백운포
571,신갈오거리
572,수성구
573,성화동
574,경희대 생활과학대학
575,용봉동
576,덕천
577,낙산공원
578,부산광역시 해운대
579,대구법원
580,다대포 부산
581,논현 영동시장
582,안동영명학교
583,한남대학교
584,디지털미디어시티역
585,디지털미디어시티
586,동두천 지행역
587,서대문
588,울산 주전
589,경복궁 광화문
590,북촌
591,홍대 홍콩야시장
592,성미산
593,대학로아트원씨어터
594,호림미술관
595,동피랑
596,화정
597,거제 장승포
598,상암동
599,천안 신부동
600,광화문 교보타워
601,중동
602,세계자동차박물관
603,제주도 서귀포
604,사당점
605,사당
606,팔당댐
607,동명대학교
608,상도역
609,명지대학교
610,가평 쁘띠프랑스
611,한남대학교 조형예술대학
612,예술의전당
613,이태원 글램
614,광주 충장로
615,영남이공대
616,제주협재해변
617,대화동 우리집 앞
618,UNIST
619,대명동
620,수지 죽변항
621,올림픽공원 소마미술관
622,전포동
623,대구혁신도시
624,포항시 양덕동
625,의정부
626,양촌리
627,바람의언덕
628,남한산성
629,태종대
630,망포동
631,신석체육공원
632,사당
633,고려대 안암동
634,당리동
635,서해안고속도로 행담도휴게소
636,신불산
637,경주
638,Hyehwa
639,부평 산수향
640,아산 신정호수공원
641,만안구청
642,이대병원
643,양지마을
644,군포시 부곡동
645,강원도 평창군
646,대구스타디움
647,가든파이브
648,대전 대덕구 송촌동
649,시청 서울광장
650,마산 평화동
651,수원 곡반정동
652,센텀스퀘어
653,팔달문
654,제기시장
655,Myongji
656,평화시장
657,김포대명항
658,상암E&M센터
659,대전 서구 변동
660,동국대상록원
661,광화문 청계천
662,한강진점
663,한강진점
664,도곡
665,개금
666,상명아트센터
667,강당골계곡
668,연희동
669,덕수궁 석조전
670,범계역
671,천안 이성당
672,광천 유스퀘어
673,동편마을
674,계명대학교
675,은포리 
676,동탄
677,여수엑스포아쿠아리움
678,여수엑스포
679,곤지암리조트
680,남양주 별내지구
681,청주 하복대
682,서울여대 조형예술관
683,아주대
684,성수동
685,숙명여자대학교 청파갤러리
686,경부고속도로 안성휴게소
687,경성대학교
688,인계동
689,강원도 평창 휘닉스파크
690,삼도드림파크
691,고덕동
692,송월동 동화마을
693,아침고요수목원
694,영남대학교 천마체육관
695,구리시장
696,과천 서울랜드
697,분당구 판교동
698,고질라야시장
699,월정리
700,가락
701,서교동
702,아이파크몰
703,서울 송파구 송파동
704,이천
705,신림
706,역촌동
707,한국외대
708,신탄진
709,제2롯데월드몰
710,대모산
711,참살이길
712,용두산공원 부산타워
713,계산동
714,전라남도 여수시
715,안동시청
716,청계천광장
717,문현동
718,세종예술시장
719,상수동
720,한강반포공원 새빛둥둥섬
721,고려대학교 중앙광장
722,신천시장
723,울대
724,보릿고개
725,경기도 광주시 오포읍 문형리
726,동탄
727,태기산
728,남산골한옥마을
729,종로
730,전주 덕진공원
731,초전동
732,Jeonju
733,함덕
734,합천영상테마파크
735,안민고개
736,철산
737,울산 옥동
738,대천해수욕장바닷가
739,청계천
740,어린이대공원
741,먼동해변
742,광주유스퀘어
743,호계시장
744,제주도 구좌읍
745,청주 우암산
746,안양 호계동
747,인천 구월동
748,천호
749,강변
750,자만벽화마을
751,용산가족공원
752,신당역
753,신당
754,센트럴시티호남선
755,난지한강공원
756,부평시장
757,구월동
758,동대문
759,DDP
760,등명해변
761,여수
762,울산바위
763,부산진역
764,동아방송예술대학 디마종합촬영소
765,전북대
766,월정리해수욕장
767,신촌 명물거리
768,한빛마을8단지
769,일산 KINTEX
770,황금강산
771,종로5가
772,대전탄방동
773,포항해병대교육훈련단
774,암사동
775,송정해수욕장
776,신림
777,중동
778,전주 남부시장
779,네스트호텔
780,타임스퀘어
781,평택 통복시장
782,신사동
783,갤러리아
784,부산역
785,진하
786,경북대학교 복지관
787,창원 상남동
788,방배동
789,사임당관
790,충장로
791,서산 해미읍성
792,속리산
793,부산광역시청
794,상인동
795,용마랜드
796,대덕문화전당
797,삽교호
798,대구경북디자인센터
799,광주예술고등학교
800,청주시
801,반포 종합운동장
802,Nonsan
803,청파동
804,경상남도 마산 합성동
805,강남역
806,이화벽화마을
807,Boryeong
808,위례성길
809,계명대
810,공주휴게소
811,여의도한강시민공원
812,두류동
813,종로3가
814,종로
815,경기도 김포시 고촌
816,대명동계대
817,차병원사거리
818,Mokpo
819,순천만정원
820,금오산올레길
821,모란
822,두산동
823,범계
824,망원동
825,이화여자대학교
826,대구광역시 수성구 황금동
827,대명리조트
828,울진후포리
829,송파구
830,신림동
831,안산화랑유원지
832,진월동
833,구로구
834,김포시 대곶면
835,소이연남
836,만인산
837,종로5가
838,상암월드컵경기장 평화의공원
839,서울시 중랑구 신내동
840,광명아울렛
841,시청광장
842,광명시
843,서울 아산병원 Asan Medical Center
844,광명
845,이케아
846,홍대입구
847,청전동
848,샤롯데씨어터
849,용산
850,대전 대동하늘공원
851,신용화동
852,수성교점
853,수성교점
854,무의도
855,월미도
856,Kbs신관공개홀
857,신대방삼거리
858,IFC
859,양재시민의숲
860,홍대
861,광화문광장
862,퇴계동 춘천
863,청주 하복대
864,환호동
865,잠실 종합운동장
866,꽃지해수욕장
867,팔공산
868,도안동
869,리버사이드호텔
870,대구경대병원
871,망원동
872,보수동책방 골목문화관
873,평화광장
874,경성대
875,역삼동
876,제주도우도
877,통영 미래사
878,잠실실내체육관
879,디자인플라자
880,청담동 호면당
881,인천 만수동
882,인천차이나타운
883,매월동 매월저수지
884,오장동
885,대전예술의전당
886,수유
887,롯데시네마월드타워
888,화곡동
889,스마트운동센터
890,사당역
891,전주시외버스터미널
892,대전 목원대학교
893,헝가리 부다페스트
894,부산 해운대해수욕장
895,장안동
896,상명대학교
897,서우봉
898,수가성
899,수유먹자골목
900,남양주 유기농테마파크
901,KBS별관
902,노원구 공릉동
903,하이원스키장
904,강남역삼동
905,뉴힐탑호텔
906,광안리회센터
907,경기도 광주시 오포읍
908,울산현대백화점
909,광주 북구 운암동
910,평촌역
911,한동대학교 비전관
912,포항
913,아셈타워
914,루미수다게스트하우스
915,중랑천
916,장승배기
917,노가리골목
918,올림픽체조경기장
919,염창역
920,더케이아트홀
921,서현
922,두정동 먹자골목
923,괴정동
924,우면동
925,소공동
926,삼각지
927,영남대
928,목포
929,진월동
930,강화 대명항
931,봉명
932,상암mbc
933,삽교천
934,상암
935,화전역 항공대지하동굴
936,작동
937,한국영상자료원
938,화양사거리
939,바람의길
940,이동
941,남원 교룡산성
942,Guillaume
943,율동공원
944,수성못
945,진월동
946,부산농심호텔
947,고척 스카이돔
948,신드롬
949,광주 봉선동
950,합성동
951,신당동 충무아트홀
952,경복궁
953,여의나루 한강공원
954,충무로
955,숭실대 
956,한경대
957,종각
958,신흥원
959,강화도 동검리
960,충북 청주시
961,종로
962,선릉역
963,염주체육관
964,중화전
965,제주도 용두암
966,을지로
967,설악산
968,계룡산국립공원
969,보건옥
970,신설동
971,경기도 구리시 돌다리
972,정동진
973,한강 잠원지구
974,서초
975,문래
976,문래동
977,샤롯데평촌
978,대구 그랜드호텔
979,석촌호수
980,수성못
981,화정동
982,가능초등학교
983,웰리힐리파크
984,동두천
985,봉선동
986,쌍용동
987,물치해변
988,대화동
989,대화
990,한가원
991,울산동구남목
992,동탄남광장
993,부산 중앙동
994,잠원동
995,남한산성 불당리
996,양재역
997,역삼
998,안양 인덕원
999,안암동
1000, 침산점
1001,갈산역
1002,문정동
1003,합정동
1004,세종문화회관
1005,사직
1006,상상마당 춘천
1007,경상북도 영천시 신녕면
1008,COEX
1009,김해
1010,수리산
1011,백양산
1012,덕유산 설천봉
1013,사상
1014,금천동광장
1015,광주 수완지구
1016,천왕동
1017,금천동
1018,금천동
1019,포천
1020,석계역
1021,구미시 인동고등학교
1022,상인점
1023,이대길거리
1024,천호로데오거리
1025,천호
1026,천호동
1027,올림픽공원
1028,강남
1029,회현리
1030,제주도 애월읍
1031,부천시
1032,송도
1033,상무지구
1034,아주대
1035,청송옥
1036,Yeongcheon
1037,평택대
1038,여의도 한강유람선
1039,동백섬
1040,한강공원 잠원지구
1041,파주 프로방스마을
1042,삼성 코엑스
1043,미아
1044,구리
1045,미아동
1046,Hongkong
1047,남포동 광복로
1048,공릉동
1049,일본 오키나와
1050,명촌동
1051,양평
1052,김녕해수욕장
1053,도곡동
1054,한국화학연구원
1055,장존동
1056,청주시 우암동
1057,거제대명리조트
1058,송도스카이워크
1059,서울건대입구
1060,동아대
1061,세종시
1062,부전시장
1063,대치역
1064,구월동
1065,안양
1066,석수동
1067,거제 지세포항
1068,압구정
1069,월평동
1070,우시산
1071,동편마을
1072,전주
1073,연산동
1074,하나로프라자
1075,면목동
1076,남이섬
1077,차병원사거리
1078,양재동
1079,선재도
1080,ECC
1081,길동
1082,독일 프랑크푸르트
1083,동래
1084,동국대학교 정보문화관
1085,청계천
1086,석촌호수
1087,경상남도 거제시 아주동
1088,제주아쿠아플라넷
1089,lg아트센터
1090,동탄신도시
1091,대구 죽전네거리
1092,지행역
1093,서울시민청
1094,이수역
1095,올림픽경기장 올림픽홀
1096,이수
1097,야탑
1098,장기동
1099,안양일번가
1100,종각
1101,공주휴게소
1102,성수동
1103,구리역
1104,북성로
1105,문배동
1106,군자
1107,종로
1108,우도
1109,정자동
1110,내당
1111,개포동
1112,변산 대명리조트
1113,인덕원
1114,은행동 목척교
1115,상명대학교 종합관
1116,부천현대먹자골목
1117,건대
1118,경기인력개발원
1119,강릉원주대
1120,오리역
1121,용현동
1122,송파구 삼전동
1123,통인시장
1124,남산한옥마을
1125,호림아트센터
1126,대치동
1127,일산해수욕장
1128,역곡 카페 드 페브
1129,월정리해변
1130,청심평화월드센터
1131,염창
1132,북악스카이웨이
1133,공릉
1134,하대동
1135,광교
1136,인사동
1137,포시즌호텔
1138,삼정호텔
1139,주엽사거리
1140,영목항
1141,춘천시 석사동
1142,교대
1143,부암동
1144,안암역
1145,서울리츠칼튼호텔
1146,광안리
1147,안양
1148,부천
1149,미아사거리
1150,산수동
